Generation	Size	Frequency	Count
0.000000	1	1.000000	1
0.000000	2	2.000000	0
0.000000	3	3.000000	0
0.000000	4	4.000000	0
0.000000	5	5.000000	0
0.000000	6	6.000000	0
0.000000	7	7.000000	0
0.000000	8	8.000000	0
0.000000	9	9.000000	0
0.000000	10	10.000000	0
10.019196	1	0.035714	4
10.019196	2	0.071429	3
10.019196	3	0.107143	0
10.019196	4	0.142857	0
10.019196	5	0.178571	0
10.019196	6	0.214286	0
10.019196	7	0.250000	0
10.019196	8	0.285714	0
10.019196	9	0.321429	0
10.019196	10	0.357143	0
10.019196	28	1.000000	1
10.019196	13	0.464286	1
20.037031	1	0.010309	8
20.037031	2	0.020619	5
20.037031	3	0.030928	3
20.037031	4	0.041237	3
20.037031	5	0.051546	1
20.037031	6	0.061856	1
20.037031	7	0.072165	0
20.037031	8	0.082474	3
20.037031	9	0.092784	0
20.037031	10	0.103093	0
20.037031	97	1.000000	1
20.037031	30	0.309278	1
20.037031	11	0.113402	2
20.037031	37	0.381443	3
20.037031	19	0.195876	2
20.037031	18	0.185567	1
30.042812	1	0.004762	33
30.042812	2	0.009524	12
30.042812	3	0.014286	9
30.042812	4	0.019048	7
30.042812	5	0.023810	0
30.042812	6	0.028571	4
30.042812	7	0.033333	3
30.042812	8	0.038095	0
30.042812	9	0.042857	7
30.042812	10	0.047619	4
30.042812	210	1.000000	1
30.042812	105	0.500000	1
30.042812	58	0.276190	2
30.042812	57	0.271429	3
30.042812	47	0.223810	2
30.042812	21	0.100000	2
30.042812	25	0.119048	3
30.042812	32	0.152381	1
30.042812	41	0.195238	2
30.042812	13	0.061905	4
30.042812	19	0.090476	1
30.042812	12	0.057143	1
30.042812	16	0.076190	3
30.042812	11	0.052381	3
40.046562	1	0.002481	64
40.046562	2	0.004963	29
40.046562	3	0.007444	20
40.046562	4	0.009926	17
40.046562	5	0.012407	9
40.046562	6	0.014888	9
40.046562	7	0.017370	8
40.046562	8	0.019851	7
40.046562	9	0.022333	4
40.046562	10	0.024814	4
40.046562	403	1.000000	1
40.046562	218	0.540943	1
40.046562	153	0.379653	2
40.046562	89	0.220844	4
40.046562	65	0.161290	2
40.046562	69	0.171216	1
40.046562	104	0.258065	3
40.046562	60	0.148883	2
40.046562	21	0.052109	4
40.046562	47	0.116625	1
40.046562	26	0.064516	2
40.046562	34	0.084367	5
40.046562	95	0.235732	3
40.046562	18	0.044665	3
40.046562	79	0.196030	2
40.046562	27	0.066998	2
40.046562	16	0.039702	1
40.046562	12	0.029777	4
40.046562	15	0.037221	3
40.046562	19	0.047146	2
40.046562	24	0.059553	2
40.046562	13	0.032258	2
40.046562	22	0.054591	3
40.046562	11	0.027295	1
40.046562	20	0.049628	1
40.046562	14	0.034739	1
50.049812	1	0.001965	80
50.049812	2	0.003929	31
50.049812	3	0.005894	43
50.049812	4	0.007859	20
50.049812	5	0.009823	9
50.049812	6	0.011788	16
50.049812	7	0.013752	3
50.049812	8	0.015717	3
50.049812	9	0.017682	8
50.049812	10	0.019646	7
50.049812	509	1.000000	1
50.049812	150	0.294695	1
50.049812	107	0.210216	2
50.049812	175	0.343811	4
50.049812	43	0.084479	2
50.049812	57	0.111984	3
50.049812	88	0.172888	11
50.049812	27	0.053045	6
50.049812	72	0.141454	4
50.049812	87	0.170923	1
50.049812	51	0.100196	1
50.049812	14	0.027505	5
50.049812	19	0.037328	2
50.049812	17	0.033399	8
50.049812	31	0.060904	2
50.049812	13	0.025540	2
50.049812	15	0.029470	6
50.049812	34	0.066798	2
50.049812	16	0.031434	6
50.049812	58	0.113949	2
50.049812	40	0.078585	5
50.049812	71	0.139489	4
50.049812	35	0.068762	2
50.049812	11	0.021611	6
50.049812	28	0.055010	1
50.049812	25	0.049116	1
50.049812	12	0.023576	1
50.049812	23	0.045187	1
50.049812	37	0.072692	1
60.054382	1	0.001852	92
60.054382	2	0.003704	57
60.054382	3	0.005556	26
60.054382	4	0.007407	14
60.054382	5	0.009259	12
60.054382	6	0.011111	20
60.054382	7	0.012963	14
60.054382	8	0.014815	7
60.054382	9	0.016667	8
60.054382	10	0.018519	10
60.054382	540	1.000000	1
60.054382	77	0.142593	1
60.054382	43	0.079630	8
60.054382	178	0.329630	4
60.054382	34	0.062963	6
60.054382	33	0.061111	4
60.054382	106	0.196296	4
60.054382	112	0.207407	1
60.054382	128	0.237037	1
60.054382	66	0.122222	5
60.054382	23	0.042593	5
60.054382	13	0.024074	9
60.054382	81	0.150000	3
60.054382	105	0.194444	2
60.054382	42	0.077778	2
60.054382	53	0.098148	4
60.054382	47	0.087037	2
60.054382	22	0.040741	10
60.054382	12	0.022222	8
60.054382	24	0.044444	2
60.054382	73	0.135185	4
60.054382	11	0.020370	5
60.054382	75	0.138889	2
60.054382	18	0.033333	1
60.054382	15	0.027778	2
60.054382	19	0.035185	3
60.054382	58	0.107407	2
60.054382	14	0.025926	1
60.054382	65	0.120370	2
60.054382	36	0.066667	2
60.054382	52	0.096296	1
60.054382	16	0.029630	1
60.054382	17	0.031481	1
70.058044	1	0.001919	94
70.058044	2	0.003839	58
70.058044	3	0.005758	35
70.058044	4	0.007678	16
70.058044	5	0.009597	24
70.058044	6	0.011516	19
70.058044	7	0.013436	9
70.058044	8	0.015355	9
70.058044	9	0.017274	8
70.058044	10	0.019194	13
70.058044	521	1.000000	1
70.058044	129	0.247601	1
70.058044	41	0.078695	8
70.058044	111	0.213052	4
70.058044	88	0.168906	7
70.058044	30	0.057582	5
