Generation	NumSamples	Depth	TargetSampleSize	ActualSampleSize
0.000000	1	0	100	1
0.000000	1	1	100	1
0.000000	1	2	100	1
0.000000	1	3	100	1
0.000000	1	4	100	1
0.000000	1	5	100	1
0.000000	1	6	100	1
0.000000	1	7	100	1
0.000000	1	8	100	1
0.000000	1	9	100	1
0.000000	1	10	100	1
0.000000	1	0	1000	1
0.000000	1	1	1000	1
0.000000	1	2	1000	1
0.000000	1	3	1000	1
0.000000	1	4	1000	1
0.000000	1	5	1000	1
0.000000	1	6	1000	1
0.000000	1	7	1000	1
0.000000	1	8	1000	1
0.000000	1	9	1000	1
0.000000	1	10	1000	1
0.000000	2	0	200	2
0.000000	2	1	200	2
0.000000	2	2	200	2
0.000000	2	3	200	2
0.000000	2	4	200	2
0.000000	2	5	200	2
0.000000	2	6	200	2
0.000000	2	7	200	2
0.000000	2	8	200	2
0.000000	2	9	200	2
0.000000	2	10	200	2
0.000000	2	0	2000	2
0.000000	2	1	2000	2
0.000000	2	2	2000	2
0.000000	2	3	2000	2
0.000000	2	4	2000	2
0.000000	2	5	2000	2
0.000000	2	6	2000	2
0.000000	2	7	2000	2
0.000000	2	8	2000	2
0.000000	2	9	2000	2
0.000000	2	10	2000	2
0.000000	4	0	400	4
0.000000	4	1	400	4
0.000000	4	2	400	4
0.000000	4	3	400	4
0.000000	4	4	400	4
0.000000	4	5	400	4
0.000000	4	6	400	4
0.000000	4	7	400	4
0.000000	4	8	400	4
0.000000	4	9	400	4
0.000000	4	10	400	4
0.000000	4	0	4000	4
0.000000	4	1	4000	4
0.000000	4	2	4000	4
0.000000	4	3	4000	4
0.000000	4	4	4000	4
0.000000	4	5	4000	4
0.000000	4	6	4000	4
0.000000	4	7	4000	4
0.000000	4	8	4000	4
0.000000	4	9	4000	4
0.000000	4	10	4000	4
10.019196	1	0	100	28
10.019196	1	1	100	28
10.019196	1	2	100	28
10.019196	1	3	100	28
10.019196	1	4	100	28
10.019196	1	5	100	28
10.019196	1	6	100	28
10.019196	1	7	100	28
10.019196	1	8	100	28
10.019196	1	9	100	28
10.019196	1	10	100	28
10.019196	1	0	1000	28
10.019196	1	1	1000	28
10.019196	1	2	1000	28
10.019196	1	3	1000	28
10.019196	1	4	1000	28
10.019196	1	5	1000	28
10.019196	1	6	1000	28
10.019196	1	7	1000	28
10.019196	1	8	1000	28
10.019196	1	9	1000	28
10.019196	1	10	1000	28
10.019196	2	0	200	56
10.019196	2	1	200	56
10.019196	2	2	200	56
10.019196	2	3	200	56
10.019196	2	4	200	56
10.019196	2	5	200	56
